Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
26600,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
77300,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,70,E6,
126800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
176800,000003A1,false,Rx,0,8,C3,FF,FF,CD,3E,00,90,1C,
226800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
276800,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,B0,2E,
326600,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
376900,000003A1,false,Rx,0,8,C3,FF,FF,A5,3E,00,D0,34,
426900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
476600,000003A1,false,Rx,0,8,C3,FF,FF,AB,3E,00,F0,5A,
526900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
576900,000003A1,false,Rx,0,8,C3,FF,FF,AD,3E,00,10,7C,
626700,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
676900,000003A1,false,Rx,0,8,C3,FF,FF,CD,3E,00,30,BC,
726700,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
777100,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,50,C0,
826800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
876900,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,70,E0,
926900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
976800,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,90,00,
1026700,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
1076800,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,B0,2C,
1126900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
1177100,000003A1,false,Rx,0,8,C3,FF,FF,B9,3E,00,D0,48,
1226700,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
1276900,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,F0,62,
1326900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
1377100,000003A1,false,Rx,0,8,C3,FF,FF,B9,3E,00,10,88,
1426700,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
1477000,000003A1,false,Rx,0,8,C3,FF,FF,B9,3E,00,30,A8,
1526800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
1576900,000003A1,false,Rx,0,8,C3,FF,FF,AF,3E,00,50,BE,
1626800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
1676900,000003A1,false,Rx,0,8,C3,FF,FF,BB,3E,00,70,EA,
1727000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
1776900,000003A1,false,Rx,0,8,C3,FF,FF,AF,3E,00,90,FE,
1827100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
1876900,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,B0,2C,
1926800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
1976900,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,D0,40,
2026800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
2076900,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,F0,60,
2127200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
2177200,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,10,80,
2226800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
2276900,000003A1,false,Rx,0,8,C3,FF,FF,BB,3E,00,30,AA,
2326800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
2376800,000003A1,false,Rx,0,8,C3,FF,FF,BB,3E,00,50,CA,
2426800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
2476800,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,70,E0,
2527200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
2576900,000003A1,false,Rx,0,8,C3,FF,FF,AF,3E,00,90,FE,
2626800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
2676900,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,B0,2C,
2726800,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
2776900,000003A1,false,Rx,0,8,C3,FF,FF,A5,3E,00,D0,34,
2826900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
2877200,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,F0,6E,
2927100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
2976900,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,10,80,
3026900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
3077200,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,30,AE,
3126900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
3177000,000003A1,false,Rx,0,8,C3,FF,FF,C3,3E,00,50,D2,
3227100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
3277000,000003A1,false,Rx,0,8,C3,FF,FF,A1,3E,00,70,D0,
3327100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
3377100,000003A1,false,Rx,0,8,C3,FF,FF,A7,3E,00,90,F6,
3426900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
3476900,000003A1,false,Rx,0,8,C3,FF,FF,B9,3E,00,B0,28,
3526900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
3577200,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,D0,4C,
3626900,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
3677000,000003A1,false,Rx,0,8,C3,FF,FF,C5,3E,00,F0,74,
3727100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
3777000,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,10,80,
3827200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
3877000,000003A1,false,Rx,0,8,C3,FF,FF,B9,3E,00,30,A8,
3927200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
3977000,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,50,C6,
4027200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
4077000,000003A1,false,Rx,0,8,C3,FF,FF,C7,3E,00,70,F6,
4127200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
4177000,000003A1,false,Rx,0,8,C3,FF,FF,AB,3E,00,90,FA,
4227000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
4277300,000003A1,false,Rx,0,8,C3,FF,FF,AB,3E,00,B0,1A,
4327000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
4377000,000003A1,false,Rx,0,8,C3,FF,FF,BB,3E,00,D0,4A,
4427000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
4476900,000003A1,false,Rx,0,8,C3,FF,FF,AD,3E,00,F0,5C,
4527200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
4577000,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,10,8C,
4627200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
4677000,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,30,A6,
4727000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
4777000,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,50,C6,
4827000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
4877000,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,70,EC,
4927200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
4977500,000003A1,false,Rx,0,8,C3,FF,FF,A3,3E,00,90,F2,
5027000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
